experiment,precision,recall,f1_score,running_time
1,0.9164777777777775,0.6739761904761857,0.7593746845746808,43.64826659602113
2,0.8634111111111118,0.6099444444444403,0.7010496392496348,43.8090195490513
3,0.941000000000001,0.6702301587301532,0.764118392718387,43.75593602808658
4,0.9025063492063483,0.6703428571428516,0.7480583305583265,43.61512957990635
5,0.9615000000000004,0.6882134920634856,0.7895401820401768,43.91413612593897
6,0.9195000000000002,0.6831206349206298,0.7626046990046922,43.9989305769559
7,0.9187444444444451,0.6586095238095181,0.7475021978021927,43.94333129306324
8,0.8899793650793636,0.6667714285714224,0.7445775298775265,43.70336627808865
9,0.9365976190476197,0.6864746031745972,0.7784070670070659,44.02096284204163
10,0.9027388888888893,0.6587936507936443,0.7475211085211023,44.196891503059305
11,0.925288888888889,0.7000492063492,0.7859586265586233,44.05832876090426
12,0.9029396825396829,0.6679587301587242,0.7476244607244582,43.69911694701295
13,0.9186333333333303,0.6712206349206293,0.7576184075184013,44.025319999898784
14,0.8823531746031759,0.6408825396825343,0.7274200984200904,44.00313970295247
15,0.8944999999999999,0.6520920634920572,0.7393984866984841,44.1680023400113
16,0.9188746031746033,0.6652095238095201,0.7536187923187906,44.23551060492173
17,0.8959333333333334,0.6497293650793607,0.7345150183150144,44.10042514000088
18,0.8983952380952377,0.6827746031745967,0.7573400377400374,44.123477323912084
19,0.9078682539682549,0.6791079365079304,0.75714316424316,44.11483018100262
20,0.9296428571428569,0.6647785714285636,0.7623859658859609,44.368354744045064
21,0.9234999999999999,0.667815079365073,0.760374492174489,43.7905583990505
22,0.9164698412698427,0.6909373015872953,0.7718587634587563,44.17114750598557
23,0.9049587301587281,0.7076984126984086,0.7676054205054142,44.160560655989684
24,0.9483047619047618,0.6848253968253906,0.782482565582564,44.18432770401705
25,0.9022111111111115,0.6908523809523757,0.7613557442557458,44.014915034989826
26,0.9566000000000011,0.6967936507936442,0.7951088430088359,44.3324350110488
27,0.8730730158730157,0.6808746031745966,0.7409514374514324,43.70218333695084
28,0.8968793650793652,0.6750777777777714,0.7495401635401588,43.89961362199392
29,0.86422380952381,0.6497476190476128,0.7245399489399417,43.8195041839499
30,0.7904142376142365,0.6703820105820053,0.7029775739510982,44.452501491992734
